producer_id,producer_name,producer_email,producer_address,producer_city,producer_state,producer_state_name,producer_zip,producer_full_address,sales_org_id,contract_date,first_paid_policy_date,birthday_mm_dd,prem_fia_1_raw,prem_fia_1_fmt,prem_fia_2_raw,prem_fia_2_fmt,prem_fia_3_raw,prem_fia_3_fmt,prem_fia_4_raw,prem_fia_4_fmt,prem_fia_5_raw,prem_fia_5_fmt,prem_fia_6_raw,prem_fia_6_fmt,prem_fia_7_raw,prem_fia_7_fmt,prem_fia_8_raw,prem_fia_8_fmt,prem_fia_9_raw,onboarding_stage,next_step_due_date,days_overdue
22,Helen Wojcik,helenw@yahoo.com,3336 Harris Rd,Clinton,NC,North Carolina,16658,"3336 Harris Rd, Clinton, NC 16658",ORG001,2021-08-08,2021-12-30,08-14,0,$0,0,$0,0,$0,0,$0,129344,"$129,344",209212,"$209,212",0,$0,0,$0,156141,Appointed,2025-09-29,0
23,Amit Ricci,amitr@gmail.com,2648 Martinez Pl,Shelby,FL,Florida,83519,"2648 Martinez Pl, Shelby, FL 83519",ORG001,2023-11-28,2024-05-06,12-19,0,$0,0,$0,0,$0,144210,"$144,210",0,$0,0,$0,0,$0,150301,"$150,301",0,Active,,0
24,Mark Martinez,mmartinez@outlook.com,7042 Hill St,Greenville,TX,Texas,56898,"7042 Hill St, Greenville, TX 56898",ORG002,2022-04-30,2022-08-25,02-09,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
25,Cynthia Murphy,cmurphy@yahoo.com,3879 First Dr,Franklin,FL,Florida,33509,"3879 First Dr, Franklin, FL 33509",ORG003,2024-02-25,2024-05-12,02-19,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
26,Mei Esposito,mei.esposito@yahoo.com,7712 Fifth Ln,Warren,WA,Washington,55830,"7712 Fifth Ln, Warren, WA 55830",ORG003,2020-05-14,2020-06-15,12-23,165835,"$165,835",0,$0,0,$0,0,$0,0,$0,118410,"$118,410",0,$0,0,$0,0,Contracting,2025-10-06,0
27,Ryan Lewis,ryan.lewis@gmail.com,4574 Center Way,Auburn,WA,Washington,53404,"4574 Center Way, Auburn, WA 53404",ORG001,2020-06-28,2020-11-09,03-24,0,$0,154436,"$154,436",0,$0,0,$0,115776,"$115,776",0,$0,178906,"$178,906",128454,"$128,454",203445,Active,,0
28,Sandra Meyer,sandra40@gmail.com,7120 Center Blvd,Windsor,TX,Texas,25157,"7120 Center Blvd, Windsor, TX 25157",ORG004,2024-04-23,2024-09-10,11-26,155335,"$155,335",294886,"$294,886",403532,"$403,532",286179,"$286,179",299173,"$299,173",417838,"$417,838",0,$0,186114,"$186,114",348308,Contracting,2025-09-25,3
29,Ingrid Harris,ingrid2@outlook.com,3229 Mill Ct,Old Kingston,FL,Florida,96951,"3229 Mill Ct, Old Kingston, FL 96951",ORG001,2020-09-16,2021-01-18,04-04,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,59719,Appointed,2025-09-24,3
30,Carlos Zhou,carlosz@yahoo.com,9084 Hill Ln,Oxford,MI,Michigan,98777,"9084 Hill Ln, Oxford, MI 98777",ORG002,2023-01-25,2023-04-29,01-09,0,$0,195310,"$195,310",390070,"$390,070",206444,"$206,444",279232,"$279,232",346775,"$346,775",0,$0,406570,"$406,570",0,Active,,0
31,Francesca Hill,francesca_hill@yahoo.com,9503 Moore Blvd,Troy,MI,Michigan,98555,"9503 Moore Blvd, Troy, MI 98555",ORG002,2023-03-15,2023-05-05,11-07,175860,"$175,860",0,$0,133116,"$133,116",103612,"$103,612",102196,"$102,196",155732,"$155,732",0,$0,0,$0,0,Active,,0
32,Jerome Liu,jerome528@outlook.com,5492 Elm Ln,Centerville,WV,West Virginia,36100,"5492 Elm Ln, Centerville, WV 36100",ORG002,2020-10-01,2020-11-09,05-22,0,$0,0,$0,196481,"$196,481",0,$0,91439,"$91,439",0,$0,204478,"$204,478",170900,"$170,900",0,Active,,0
33,Michael Garcia,michael467@yahoo.com,3186 Thompson Ct,Chester,MI,Michigan,29342,"3186 Thompson Ct, Chester, MI 29342",ORG001,2021-04-24,2021-10-05,03-11,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,157751,"$157,751",0,Active,,0
34,Helen Rossi,helen.rossi@hotmail.com,9133 Sixth Ave,Warren,TX,Texas,97500,"9133 Sixth Ave, Warren, TX 97500",ORG005,2022-06-16,2022-07-10,09-18,41228,"$41,228",0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
35,Zara Yamamoto,zara_yamamoto@outlook.com,8977 Jackson Dr,Washington,CA,California,68991,"8977 Jackson Dr, Washington, CA 68991",ORG003,2020-12-16,2020-12-19,08-27,0,$0,0,$0,0,$0,0,$0,116103,"$116,103",0,$0,166434,"$166,434",0,$0,0,Contracting,2025-10-09,0
36,Cynthia Mueller,cynthia_mueller@outlook.com,1270 Thompson Rd,Old Kingston,AL,Alabama,80798,"1270 Thompson Rd, Old Kingston, AL 80798",ORG001,2023-06-12,2023-12-05,07-18,0,$0,35470,"$35,470",0,$0,0,$0,37241,"$37,241",35999,"$35,999",0,$0,0,$0,0,Active,,0
37,Ruth Martin,ruth.martin@yahoo.com,6798 Lincoln Blvd,Richmond,TX,Texas,18161,"6798 Lincoln Blvd, Richmond, TX 18161",ORG002,2022-06-08,2022-08-29,12-29,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Contracting,2025-09-30,0
38,Sakura Roberts,sakurar@yahoo.com,6390 Lincoln Way,Auburn,FL,Florida,89069,"6390 Lincoln Way, Auburn, FL 89069",ORG002,2020-08-22,2021-02-05,08-09,0,$0,0,$0,182644,"$182,644",217177,"$217,177",0,$0,135514,"$135,514",0,$0,0,$0,161290,Active,,0
39,Marcus Lewis,marcus_lewis@gmail.com,2705 Franklin Dr,Auburn,IL,Illinois,13534,"2705 Franklin Dr, Auburn, IL 13534",ORG004,2025-07-02,2025-10-11,01-09,0,$0,0,$0,210246,"$210,246",0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
40,Natasha Reddy,nreddy@gmail.com,824 Seventh Ct,Warren,MO,Missouri,52840,"824 Seventh Ct, Warren, MO 52840",ORG003,2021-11-20,2022-01-05,06-01,161307,"$161,307",0,$0,0,$0,0,$0,0,$0,99459,"$99,459",0,$0,0,$0,0,Appointed,2025-10-08,0
41,Adriana Scott,adriana20@outlook.com,854 Center Ln,Greenville,MS,Mississippi,14067,"854 Center Ln, Greenville, MS 14067",ORG002,2020-05-20,2020-11-08,12-27,366822,"$366,822",0,$0,157587,"$157,587",236908,"$236,908",296540,"$296,540",295794,"$295,794",363763,"$363,763",205564,"$205,564",225301,Appointed,2025-09-20,2
42,Amy Mueller,amy.mueller@gmail.com,9241 Fourth Pl,Newport,TN,Tennessee,31992,"9241 Fourth Pl, Newport, TN 31992",ORG005,2025-02-24,2025-03-04,04-04,33295,"$33,295",0,$0,0,$0,0,$0,63324,"$63,324",0,$0,0,$0,0,$0,0,Active,,0
43,Sandra Rossi,sandra27@yahoo.com,6150 Sunset Ln,West Fairview,FL,Florida,49529,"6150 Sunset Ln, West Fairview, FL 49529",ORG005,2024-12-25,2025-02-16,06-02,0,$0,0,$0,351191,"$351,191",215636,"$215,636",0,$0,296833,"$296,833",440621,"$440,621",0,$0,252502,Appointed,2025-10-04,7
44,Donald Ferrari,donald.ferrari@gmail.com,8290 Thomas Blvd,Upper Wayne,CA,California,23833,"8290 Thomas Blvd, Upper Wayne, CA 23833",ORG004,2023-11-13,2024-02-18,11-06,0,$0,438203,"$438,203",0,$0,0,$0,209160,"$209,160",372375,"$372,375",389286,"$389,286",297503,"$297,503",0,Active,,0
45,Pedro Nakamura,pedro181@outlook.com,4426 Taylor Way,Warren,TX,Texas,67091,"4426 Taylor Way, Warren, TX 67091",ORG005,2024-04-13,2024-05-21,03-14,0,$0,0,$0,0,$0,0,$0,56335,"$56,335",0,$0,0,$0,0,$0,0,Active,,0
46,Jonathan Adams,jonathan250@yahoo.com,6210 Spring St,Kingston,CA,California,33834,"6210 Spring St, Kingston, CA 33834",ORG004,2021-02-04,2021-03-21,02-06,227179,"$227,179",339858,"$339,858",0,$0,315440,"$315,440",194303,"$194,303",224095,"$224,095",0,$0,238858,"$238,858",215659,Active,,0
47,Edward Rivera,edward719@yahoo.com,167 Johnson Ln,Upper Wayne,TN,Tennessee,82768,"167 Johnson Ln, Upper Wayne, TN 82768",ORG002,2023-04-07,2023-05-21,12-24,0,$0,0,$0,0,$0,72373,"$72,373",0,$0,0,$0,63815,"$63,815",26199,"$26,199",0,Appointed,2025-09-20,4
48,Shanice Kobayashi,shanice_kobayashi@gmail.com,3987 Tenth Pkwy,Bristol,MN,Minnesota,79588,"3987 Tenth Pkwy, Bristol, MN 79588",ORG003,2021-05-26,2021-11-16,01-14,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
49,Amit Wojcik,amitw@outlook.com,3778 Lake Ln,Auburn,PA,Pennsylvania,34267,"3778 Lake Ln, Auburn, PA 34267",ORG002,2023-01-07,2023-03-20,08-17,411229,"$411,229",326998,"$326,998",394375,"$394,375",446626,"$446,626",0,$0,0,$0,379976,"$379,976",243059,"$243,059",343507,Appointed,2025-09-24,9
50,Ashley Wisniewski,ashley779@outlook.com,4637 Washington Ln,Old Hillside,CO,Colorado,49618,"4637 Washington Ln, Old Hillside, CO 49618",ORG001,2024-03-31,2024-04-22,05-18,0,$0,0,$0,0,$0,0,$0,44076,"$44,076",0,$0,0,$0,0,$0,0,Appointed,2025-09-29,4
51,Hassan Taylor,htaylor@gmail.com,8043 Washington St,Washington,LA,Louisiana,72746,"8043 Washington St, Washington, LA 72746",ORG004,2020-05-30,2020-09-03,12-03,0,$0,90940,"$90,940",0,$0,0,$0,124104,"$124,104",86260,"$86,260",0,$0,195768,"$195,768",0,Appointed,2025-09-29,0
52,Lucia White,lucia_white@gmail.com,8057 Cedar Pkwy,Madison,CA,California,29887,"8057 Cedar Pkwy, Madison, CA 29887",ORG002,2022-04-19,2022-05-02,01-31,0,$0,0,$0,0,$0,159527,"$159,527",122281,"$122,281",0,$0,121326,"$121,326",0,$0,0,Active,,0
53,Giovanni Olsson,giovanni572@yahoo.com,9767 Taylor Ln,Oxford,AL,Alabama,69049,"9767 Taylor Ln, Oxford, AL 69049",ORG004,2020-11-20,2021-02-03,12-15,0,$0,0,$0,0,$0,0,$0,91262,"$91,262",0,$0,0,$0,0,$0,0,Active,,0
54,Carlos Fischer,carlos.fischer@hotmail.com,3405 Anderson Ln,South Highland,PA,Pennsylvania,41439,"3405 Anderson Ln, South Highland, PA 41439",ORG002,2024-03-09,2024-08-07,02-24,263751,"$263,751",0,$0,0,$0,433999,"$433,999",272652,"$272,652",0,$0,0,$0,208795,"$208,795",200763,Appointed,2025-09-21,8
55,Nour Martinez,nour_martinez@yahoo.com,4772 Pine Ln,New Warren,UT,Utah,19329,"4772 Pine Ln, New Warren, UT 19329",ORG002,2022-06-21,2022-08-30,01-16,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,170446,Active,,0
56,Janet Russo,jrusso@yahoo.com,4353 Park Ave,New Fairfield,FL,Florida,67560,"4353 Park Ave, New Fairfield, FL 67560",ORG001,2023-01-13,2023-05-02,08-08,290396,"$290,396",400676,"$400,676",228137,"$228,137",0,$0,0,$0,382784,"$382,784",446918,"$446,918",438203,"$438,203",273586,Active,,0
57,Keisha Walsh,keisha_walsh@yahoo.com,7173 Elm Pkwy,Upper Kingston,ID,Idaho,89129,"7173 Elm Pkwy, Upper Kingston, ID 89129",ORG003,2023-02-13,2023-08-05,06-08,111919,"$111,919",117384,"$117,384",175155,"$175,155",0,$0,0,$0,190460,"$190,460",160670,"$160,670",154141,"$154,141",193576,Active,,0
58,Michael Lopez,michaell@outlook.com,9442 Pine Dr,Troy,NC,North Carolina,46458,"9442 Pine Dr, Troy, NC 46458",ORG002,2022-03-02,2022-04-22,03-29,94813,"$94,813",0,$0,0,$0,0,$0,0,$0,177442,"$177,442",0,$0,202520,"$202,520",0,Active,,0
59,Camille Parker,camillep@yahoo.com,1714 First Blvd,Wayne,NY,New York,47777,"1714 First Blvd, Wayne, NY 47777",ORG004,2025-03-18,2025-04-04,02-26,320670,"$320,670",445685,"$445,685",366537,"$366,537",239691,"$239,691",322792,"$322,792",342319,"$342,319",160106,"$160,106",185036,"$185,036",367972,Appointed,2025-09-17,0
60,Ali Jones,ali_jones@yahoo.com,8432 Main Way,Madison,NJ,New Jersey,34586,"8432 Main Way, Madison, NJ 34586",ORG005,2024-10-24,2024-11-10,06-13,0,$0,0,$0,0,$0,0,$0,52185,"$52,185",0,$0,0,$0,74438,"$74,438",60903,Active,,0
61,Pedro Watanabe,pedro209@yahoo.com,2147 Ninth Pl,Wayne,PA,Pennsylvania,25915,"2147 Ninth Pl, Wayne, PA 25915",ORG001,2020-06-03,2020-11-08,03-31,152942,"$152,942",0,$0,263994,"$263,994",403926,"$403,926",350069,"$350,069",0,$0,439768,"$439,768",402344,"$402,344",0,Appointed,2025-09-23,4
62,Olivia Connor,olivia.connor@yahoo.com,3682 Lake Pl,Oak Grove,IN,Indiana,75323,"3682 Lake Pl, Oak Grove, IN 75323",ORG003,2020-09-12,2021-02-21,11-25,0,$0,0,$0,0,$0,0,$0,0,$0,57000,"$57,000",0,$0,0,$0,0,Active,,0
63,Jerome Connor,jerome250@yahoo.com,2370 River Ln,Windsor,MI,Michigan,27892,"2370 River Ln, Windsor, MI 27892",ORG001,2024-07-12,2024-07-17,10-12,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,56585,"$56,585",0,Active,,0
64,Stephen Lewandowski,stephenl@outlook.com,4892 Miller Pkwy,Wayne,VA,Virginia,29476,"4892 Miller Pkwy, Wayne, VA 29476",ORG004,2022-05-18,2022-08-27,08-06,0,$0,0,$0,0,$0,144123,"$144,123",0,$0,0,$0,119731,"$119,731",0,$0,0,Appointed,2025-10-06,4
65,Aisha Yang,aishay@outlook.com,3091 Martin Ln,Centerville,UT,Utah,63841,"3091 Martin Ln, Centerville, UT 63841",ORG001,2021-03-03,2021-06-04,05-27,0,$0,0,$0,360375,"$360,375",259287,"$259,287",393064,"$393,064",361606,"$361,606",305196,"$305,196",155416,"$155,416",315131,Active,,0
66,Elena Wojcik,ewojcik@outlook.com,8116 Pine Dr,Lincoln,GA,Georgia,23154,"8116 Pine Dr, Lincoln, GA 23154",ORG004,2023-10-12,2024-01-10,05-30,151649,"$151,649",0,$0,309546,"$309,546",203475,"$203,475",213082,"$213,082",0,$0,333804,"$333,804",301693,"$301,693",0,Appointed,2025-09-28,0
67,Betty Singh,bsingh@gmail.com,1226 Jefferson Rd,Plymouth,TX,Texas,95175,"1226 Jefferson Rd, Plymouth, TX 95175",ORG001,2024-12-31,2025-03-01,12-21,0,$0,0,$0,0,$0,0,$0,30853,"$30,853",0,$0,0,$0,30300,"$30,300",0,Appointed,2025-09-13,0
68,Miguel Schneider,miguel909@yahoo.com,589 Taylor Ave,New Centerville,KY,Kentucky,21846,"589 Taylor Ave, New Centerville, KY 21846",ORG004,2025-03-13,2025-08-14,05-29,0,$0,215680,"$215,680",0,$0,179401,"$179,401",133942,"$133,942",133438,"$133,438",126793,"$126,793",0,$0,197204,Appointed,2025-09-18,0
69,Betty Kaminski,betty.kaminski@gmail.com,5315 Maple Rd,Shelby,NY,New York,29080,"5315 Maple Rd, Shelby, NY 29080",ORG002,2020-07-05,2020-11-18,07-18,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Contracting,2025-09-26,9
70,Fatima Evans,fatima625@yahoo.com,3946 Adams Pkwy,Lower Clinton,CA,California,70236,"3946 Adams Pkwy, Lower Clinton, CA 70236",ORG003,2025-07-23,2025-10-01,04-08,0,$0,0,$0,50699,"$50,699",0,$0,0,$0,71135,"$71,135",0,$0,0,$0,0,Active,,0
71,Robert Johansson,robert_johansson@outlook.com,5662 Miller Rd,Shelby,CA,California,42780,"5662 Miller Rd, Shelby, CA 42780",ORG004,2020-03-31,2020-07-15,01-23,0,$0,0,$0,0,$0,26182,"$26,182",0,$0,0,$0,0,$0,0,$0,0,Active,,0
72,Rosa Sanchez,rosas@gmail.com,9418 Ninth Rd,Upper Dover,OR,Oregon,11061,"9418 Ninth Rd, Upper Dover, OR 11061",ORG005,2025-01-21,2025-06-27,09-08,0,$0,0,$0,0,$0,27392,"$27,392",0,$0,27867,"$27,867",0,$0,0,$0,0,Active,,0
73,Richard Andersson,randersson@yahoo.com,3116 Taylor Rd,Riverside,NY,New York,92345,"3116 Taylor Rd, Riverside, NY 92345",ORG001,2022-11-24,2023-01-22,06-06,0,$0,86253,"$86,253",0,$0,0,$0,159917,"$159,917",216598,"$216,598",85766,"$85,766",89321,"$89,321",137513,Active,,0
74,William Flores,william.flores@hotmail.com,4836 Church Ct,East Auburn,NC,North Carolina,57953,"4836 Church Ct, East Auburn, NC 57953",ORG005,2020-03-26,2020-07-24,01-12,324969,"$324,969",436995,"$436,995",0,$0,347659,"$347,659",0,$0,226074,"$226,074",396136,"$396,136",364601,"$364,601",241867,Contracting,2025-09-21,9
75,Andre Andersson,andrea@yahoo.com,1887 Franklin Ave,West Plymouth,VA,Virginia,83048,"1887 Franklin Ave, West Plymouth, VA 83048",ORG003,2021-10-09,2021-10-17,11-10,38119,"$38,119",0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,Active,,0
76,Lisa Ferrari,lisaf@yahoo.com,4296 Miller Ct,Newport,MO,Missouri,24201,"4296 Miller Ct, Newport, MO 24201",ORG002,2022-10-20,2022-10-29,09-03,0,$0,341579,"$341,579",0,$0,340630,"$340,630",440979,"$440,979",281452,"$281,452",387144,"$387,144",282242,"$282,242",243603,Active,,0
77,Darnell Brown,darnell_brown@outlook.com,4952 Thomas Ct,North Greenville,TX,Texas,49893,"4952 Thomas Ct, North Greenville, TX 49893",ORG004,2025-06-26,2025-11-07,01-02,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,37702,"$37,702",0,Appointed,2025-10-06,8
78,Sandra Gonzalez,sandra465@yahoo.com,6867 Miller Dr,Fairview,FL,Florida,74139,"6867 Miller Dr, Fairview, FL 74139",ORG005,2020-05-10,2020-07-23,02-13,118060,"$118,060",90876,"$90,876",0,$0,99967,"$99,967",0,$0,0,$0,0,$0,114470,"$114,470",0,Active,,0
79,Chen Larsson,chen_larsson@yahoo.com,3869 Mill Ave,Newport,OH,Ohio,81364,"3869 Mill Ave, Newport, OH 81364",ORG003,2022-10-11,2023-03-13,01-15,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,63399,"$63,399",27931,Active,,0
80,Jessica Gomez,jgomez@gmail.com,9784 Oak St,Chester,TN,Tennessee,26505,"9784 Oak St, Chester, TN 26505",ORG005,2022-01-17,2022-05-29,02-21,85840,"$85,840",0,$0,179865,"$179,865",0,$0,0,$0,0,$0,192792,"$192,792",0,$0,0,Appointed,2025-09-26,3
81,Jason Rodriguez,jason337@gmail.com,47 Eighth Dr,Auburn,CA,California,42853,"47 Eighth Dr, Auburn, CA 42853",ORG002,2022-12-16,2023-03-21,04-09,0,$0,158666,"$158,666",0,$0,0,$0,0,$0,198144,"$198,144",0,$0,111850,"$111,850",0,Appointed,2025-09-22,0
82,Mark O'Brien,mark809@gmail.com,5305 Oak Dr,East Richmond,MA,Massachusetts,78955,"5305 Oak Dr, East Richmond, MA 78955",ORG001,2022-06-29,2022-07-31,08-20,0,$0,141363,"$141,363",194321,"$194,321",0,$0,0,$0,0,$0,151061,"$151,061",0,$0,0,Active,,0
83,Thomas Liu,thomas112@yahoo.com,3630 Taylor St,Ashland,CA,California,49535,"3630 Taylor St, Ashland, CA 49535",ORG004,2023-02-17,2023-06-06,08-28,248083,"$248,083",183102,"$183,102",447571,"$447,571",0,$0,380994,"$380,994",0,$0,0,$0,0,$0,0,Active,,0
84,Linda Davis,linda_davis@outlook.com,1205 Elm Blvd,Georgetown,CA,California,26540,"1205 Elm Blvd, Georgetown, CA 26540",ORG003,2022-05-07,2022-09-30,04-06,0,$0,0,$0,0,$0,0,$0,0,$0,0,$0,48745,"$48,745",0,$0,0,Active,,0
